Date,Home Team,Away Team,Score,Season
,Stade Brestois 29,Angers SCO,-:-,2024-2025
,Lille OSC,Montpellier HSC,-:-,2024-2025
,Stade Rennais,Paris Saint-Germain,-:-,2024-2025
,Olympique Marseille,RC Lens,-:-,2024-2025
,Paris Saint-Germain,Olympique Marseille,-:-,2024-2025
,OGC Nice,AJ Auxerre,-:-,2024-2025
16/03/2025,Montpellier HSC,AS Saint-Étienne,-:-,2024-2025
,Stade Brestois 29,Stade de Reims,-:-,2024-2025
,Olympique Lyonnais,Havre AC,-:-,2024-2025
,RC Lens,Stade Rennais,-:-,2024-2025
,RC Strasbourg,Toulouse FC,-:-,2024-2025
,FC Nantes,Lille OSC,-:-,2024-2025
,Angers SCO,AS Monaco,-:-,2024-2025
,Angers SCO,Stade Rennais,-:-,2024-2025
,AJ Auxerre,Montpellier HSC,-:-,2024-2025
30/03/2025,Havre AC,FC Nantes,-:-,2024-2025
,RC Strasbourg,Olympique Lyonnais,-:-,2024-2025
,Toulouse FC,Stade Brestois 29,-:-,2024-2025
,AS Saint-Étienne,Paris Saint-Germain,-:-,2024-2025
,Stade de Reims,Olympique Marseille,-:-,2024-2025
,Lille OSC,RC Lens,-:-,2024-2025
,AS Monaco,OGC Nice,-:-,2024-2025
,Olympique Marseille,Toulouse FC,-:-,2024-2025
,OGC Nice,FC Nantes,-:-,2024-2025
06/04/2025,Stade Brestois 29,AS Monaco,-:-,2024-2025
,Montpellier HSC,Havre AC,-:-,2024-2025
,Olympique Lyonnais,Lille OSC,-:-,2024-2025
,RC Lens,AS Saint-Étienne,-:-,2024-2025
,Paris Saint-Germain,Angers SCO,-:-,2024-2025
,Stade de Reims,RC Strasbourg,-:-,2024-2025
,Stade Rennais,AJ Auxerre,-:-,2024-2025
,Toulouse FC,Lille OSC,-:-,2024-2025
,Havre AC,Stade Rennais,-:-,2024-2025
13/04/2025,AJ Auxerre,Olympique Lyonnais,-:-,2024-2025
,FC Nantes,Paris Saint-Germain,-:-,2024-2025
,RC Strasbourg,OGC Nice,-:-,2024-2025
,AS Saint-Étienne,Stade Brestois 29,-:-,2024-2025
,Angers SCO,Montpellier HSC,-:-,2024-2025
,RC Lens,Stade de Reims,-:-,2024-2025
,AS Monaco,Olympique Marseille,-:-,2024-2025
,AS Saint-Étienne,Olympique Lyonnais,-:-,2024-2025
,OGC Nice,Angers SCO,-:-,2024-2025
20/04/2025,Stade Brestois 29,RC Lens,-:-,2024-2025
,Lille OSC,AJ Auxerre,-:-,2024-2025
,Paris Saint-Germain,Havre AC,-:-,2024-2025
,Olympique Marseille,Montpellier HSC,-:-,2024-2025
,Stade de Reims,Toulouse FC,-:-,2024-2025
,AS Monaco,RC Strasbourg,-:-,2024-2025
,Stade Rennais,FC Nantes,-:-,2024-2025
,Havre AC,AS Monaco,-:-,2024-2025
,RC Strasbourg,AS Saint-Étienne,-:-,2024-2025
27/04/2025,FC Nantes,Toulouse FC,-:-,2024-2025
,Montpellier HSC,Stade de Reims,-:-,2024-2025
,RC Lens,AJ Auxerre,-:-,2024-2025
,Angers SCO,Lille OSC,-:-,2024-2025
,Paris Saint-Germain,OGC Nice,-:-,2024-2025
,Olympique Marseille,Stade Brestois 29,-:-,2024-2025
,Olympique Lyonnais,Stade Rennais,-:-,2024-2025
,Olympique Lyonnais,RC Lens,-:-,2024-2025
,Lille OSC,Olympique Marseille,-:-,2024-2025
04/05/2025,OGC Nice,Stade de Reims,-:-,2024-2025
,Stade Brestois 29,Montpellier HSC,-:-,2024-2025
,AS Saint-Étienne,AS Monaco,-:-,2024-2025
,FC Nantes,Angers SCO,-:-,2024-2025
,Toulouse FC,Stade Rennais,-:-,2024-2025
,RC Strasbourg,Paris Saint-Germain,-:-,2024-2025
,AJ Auxerre,Havre AC,-:-,2024-2025
,Stade de Reims,AS Saint-Étienne,-:-,2024-2025
,AJ Auxerre,FC Nantes,-:-,2024-2025
11/05/2025,Angers SCO,RC Strasbourg,-:-,2024-2025
,Havre AC,Olympique Marseille,-:-,2024-2025
,Stade Rennais,OGC Nice,-:-,2024-2025
,Montpellier HSC,Paris Saint-Germain,-:-,2024-2025
,Toulouse FC,RC Lens,-:-,2024-2025
,Stade Brestois 29,Lille OSC,-:-,2024-2025
,AS Monaco,Olympique Lyonnais,-:-,2024-2025
,Olympique Marseille,Stade Rennais,-:-,2024-2025
,Olympique Lyonnais,Angers SCO,-:-,2024-2025
18/05/2025,OGC Nice,Stade Brestois 29,-:-,2024-2025
,AS Saint-Étienne,Toulouse FC,-:-,2024-2025
,Lille OSC,Stade de Reims,-:-,2024-2025
,RC Strasbourg,Havre AC,-:-,2024-2025
,FC Nantes,Montpellier HSC,-:-,2024-2025
,RC Lens,AS Monaco,-:-,2024-2025
,Paris Saint-Germain,AJ Auxerre,-:-,2024-2025
