Date,Home Team,Away Team,Score,Season
05/08/2022,Eintracht Frankfurt,Bayern München,1:6 (0:5),2022-2023
06/08/2022,1. FC Union Berlin,Hertha BSC,3:1 (1:0),2022-2023
,Bor. Mönchengladbach,1899 Hoffenheim,3:1 (1:1),2022-2023
,VfL Wolfsburg,Werder Bremen,2:2 (1:2),2022-2023
,VfL Bochum,1. FSV Mainz 05,1:2 (1:1),2022-2023
,FC Augsburg,SC Freiburg,0:4 (0:0),2022-2023
,Borussia Dortmund,Bayer Leverkusen,1:0 (1:0),2022-2023
07/08/2022,VfB Stuttgart,RB Leipzig,1:1 (1:1),2022-2023
,1. FC Köln,FC Schalke 04,3:1 (0:0),2022-2023
12/08/2022,SC Freiburg,Borussia Dortmund,1:3 (1:0),2022-2023
13/08/2022,Bayer Leverkusen,FC Augsburg,1:2 (1:1),2022-2023
,RB Leipzig,1. FC Köln,2:2 (1:1),2022-2023
,1899 Hoffenheim,VfL Bochum,3:2 (2:2),2022-2023
,Hertha BSC,Eintracht Frankfurt,1:1 (1:0),2022-2023
,Werder Bremen,VfB Stuttgart,2:2 (1:1),2022-2023
,FC Schalke 04,Bor. Mönchengladbach,2:2 (1:0),2022-2023
14/08/2022,1. FSV Mainz 05,1. FC Union Berlin,0:0 (0:0),2022-2023
,Bayern München,VfL Wolfsburg,2:0 (2:0),2022-2023
19/08/2022,Bor. Mönchengladbach,Hertha BSC,1:0 (1:0),2022-2023
20/08/2022,Borussia Dortmund,Werder Bremen,2:3 (1:0),2022-2023
,Bayer Leverkusen,1899 Hoffenheim,0:3 (0:2),2022-2023
,VfL Wolfsburg,FC Schalke 04,0:0 (0:0),2022-2023
,FC Augsburg,1. FSV Mainz 05,1:2 (1:1),2022-2023
,VfB Stuttgart,SC Freiburg,0:1 (0:1),2022-2023
,1. FC Union Berlin,RB Leipzig,2:1 (2:0),2022-2023
21/08/2022,Eintracht Frankfurt,1. FC Köln,1:1 (0:0),2022-2023
,VfL Bochum,Bayern München,0:7 (0:4),2022-2023
26/08/2022,SC Freiburg,VfL Bochum,1:0 (0:0),2022-2023
27/08/2022,RB Leipzig,VfL Wolfsburg,2:0 (1:0),2022-2023
,1. FSV Mainz 05,Bayer Leverkusen,0:3 (0:3),2022-2023
,1899 Hoffenheim,FC Augsburg,1:0 (1:0),2022-2023
,Hertha BSC,Borussia Dortmund,0:1 (0:1),2022-2023
,FC Schalke 04,1. FC Union Berlin,1:6 (1:3),2022-2023
,Bayern München,Bor. Mönchengladbach,1:1 (0:1),2022-2023
28/08/2022,1. FC Köln,VfB Stuttgart,0:0 (0:0),2022-2023
,Werder Bremen,Eintracht Frankfurt,3:4 (2:3),2022-2023
02/09/2022,Borussia Dortmund,1899 Hoffenheim,1:0 (1:0),2022-2023
03/09/2022,Bayer Leverkusen,SC Freiburg,2:3 (1:0),2022-2023
,1. FC Union Berlin,Bayern München,1:1 (1:1),2022-2023
,VfL Wolfsburg,1. FC Köln,2:4 (1:3),2022-2023
,VfL Bochum,Werder Bremen,0:2 (0:0),2022-2023
,VfB Stuttgart,FC Schalke 04,1:1 (1:1),2022-2023
,Eintracht Frankfurt,RB Leipzig,4:0 (2:0),2022-2023
04/09/2022,FC Augsburg,Hertha BSC,0:2 (0:0),2022-2023
,Bor. Mönchengladbach,1. FSV Mainz 05,0:1 (0:0),2022-2023
09/09/2022,Werder Bremen,FC Augsburg,0:1 (0:0),2022-2023
10/09/2022,Bayern München,VfB Stuttgart,2:2 (1:0),2022-2023
,RB Leipzig,Borussia Dortmund,3:0 (2:0),2022-2023
,1899 Hoffenheim,1. FSV Mainz 05,4:1 (0:0),2022-2023
,Eintracht Frankfurt,VfL Wolfsburg,0:1 (0:0),2022-2023
,Hertha BSC,Bayer Leverkusen,2:2 (0:0),2022-2023
,FC Schalke 04,VfL Bochum,3:1 (1:0),2022-2023
11/09/2022,1. FC Köln,1. FC Union Berlin,0:1 (0:1),2022-2023
,SC Freiburg,Bor. Mönchengladbach,0:0 (0:0),2022-2023
16/09/2022,1. FSV Mainz 05,Hertha BSC,1:1 (0:1),2022-2023
17/09/2022,Borussia Dortmund,FC Schalke 04,1:0 (0:0),2022-2023
,Bayer Leverkusen,Werder Bremen,1:1 (0:0),2022-2023
,FC Augsburg,Bayern München,1:0 (0:0),2022-2023
,VfB Stuttgart,Eintracht Frankfurt,1:3 (0:1),2022-2023
,Bor. Mönchengladbach,RB Leipzig,3:0 (2:0),2022-2023
18/09/2022,1. FC Union Berlin,VfL Wolfsburg,2:0 (0:0),2022-2023
,VfL Bochum,1. FC Köln,1:1 (1:0),2022-2023
,1899 Hoffenheim,SC Freiburg,0:0 (0:0),2022-2023
30/09/2022,Bayern München,Bayer Leverkusen,4:0 (3:0),2022-2023
01/10/2022,RB Leipzig,VfL Bochum,4:0 (2:0),2022-2023
,SC Freiburg,1. FSV Mainz 05,2:1 (2:0),2022-2023
,1. FC Köln,Borussia Dortmund,3:2 (0:1),2022-2023
,Eintracht Frankfurt,1. FC Union Berlin,2:0 (2:0),2022-2023
,VfL Wolfsburg,VfB Stuttgart,3:2 (2:2),2022-2023
,Werder Bremen,Bor. Mönchengladbach,5:1 (4:0),2022-2023
02/10/2022,Hertha BSC,1899 Hoffenheim,1:1 (1:1),2022-2023
,FC Schalke 04,FC Augsburg,2:3 (1:2),2022-2023
07/10/2022,1899 Hoffenheim,Werder Bremen,1:2 (1:1),2022-2023
08/10/2022,Bayer Leverkusen,FC Schalke 04,4:0 (2:0),2022-2023
,1. FSV Mainz 05,RB Leipzig,1:1 (1:0),2022-2023
,VfL Bochum,Eintracht Frankfurt,3:0 (0:0),2022-2023
,FC Augsburg,VfL Wolfsburg,1:1 (0:1),2022-2023
,Borussia Dortmund,Bayern München,2:2 (0:1),2022-2023
09/10/2022,Bor. Mönchengladbach,1. FC Köln,5:2 (2:1),2022-2023
,Hertha BSC,SC Freiburg,2:2 (1:1),2022-2023
,VfB Stuttgart,1. FC Union Berlin,0:1 (0:0),2022-2023
14/10/2022,FC Schalke 04,1899 Hoffenheim,0:3 (0:2),2022-2023
15/10/2022,Eintracht Frankfurt,Bayer Leverkusen,5:1 (1:0),2022-2023
,VfL Wolfsburg,Bor. Mönchengladbach,2:2 (1:1),2022-2023
,VfB Stuttgart,VfL Bochum,4:1 (2:1),2022-2023
,Werder Bremen,1. FSV Mainz 05,0:2 (0:1),2022-2023
,RB Leipzig,Hertha BSC,3:2 (3:0),2022-2023
16/10/2022,1. FC Köln,FC Augsburg,3:2 (0:1),2022-2023
,1. FC Union Berlin,Borussia Dortmund,2:0 (2:0),2022-2023
,Bayern München,SC Freiburg,5:0 (2:0),2022-2023
21/10/2022,1. FSV Mainz 05,1. FC Köln,5:0 (3:0),2022-2023
22/10/2022,Borussia Dortmund,VfB Stuttgart,5:0 (3:0),2022-2023
,Bayer Leverkusen,VfL Wolfsburg,2:2 (1:1),2022-2023
,SC Freiburg,Werder Bremen,2:0 (0:0),2022-2023
,1899 Hoffenheim,Bayern München,0:2 (0:2),2022-2023
,FC Augsburg,RB Leipzig,3:3 (1:0),2022-2023
,Bor. Mönchengladbach,Eintracht Frankfurt,1:3 (0:3),2022-2023
23/10/2022,VfL Bochum,1. FC Union Berlin,2:1 (1:0),2022-2023
,Hertha BSC,FC Schalke 04,2:1 (0:0),2022-2023
28/10/2022,Werder Bremen,Hertha BSC,1:0 (0:0),2022-2023
29/10/2022,Bayern München,1. FSV Mainz 05,6:2 (3:1),2022-2023
,RB Leipzig,Bayer Leverkusen,2:0 (1:0),2022-2023
,VfL Wolfsburg,VfL Bochum,4:0 (2:0),2022-2023
,VfB Stuttgart,FC Augsburg,2:1 (1:1),2022-2023
,Eintracht Frankfurt,Borussia Dortmund,1:2 (1:1),2022-2023
30/10/2022,1. FC Union Berlin,Bor. Mönchengladbach,2:1 (0:1),2022-2023
,FC Schalke 04,SC Freiburg,0:2 (0:1),2022-2023
,1. FC Köln,1899 Hoffenheim,1:1 (1:1),2022-2023
04/11/2022,Bor. Mönchengladbach,VfB Stuttgart,3:1 (2:1),2022-2023
05/11/2022,Borussia Dortmund,VfL Bochum,3:0 (3:0),2022-2023
,1. FSV Mainz 05,VfL Wolfsburg,0:3 (0:1),2022-2023
,1899 Hoffenheim,RB Leipzig,1:3 (0:1),2022-2023
,FC Augsburg,Eintracht Frankfurt,1:2 (1:1),2022-2023
,Hertha BSC,Bayern München,2:3 (2:3),2022-2023
,Werder Bremen,FC Schalke 04,2:1 (1:0),2022-2023
06/11/2022,Bayer Leverkusen,1. FC Union Berlin,5:0 (0:0),2022-2023
,SC Freiburg,1. FC Köln,2:0 (0:0),2022-2023
08/11/2022,VfL Wolfsburg,Borussia Dortmund,2:0 (1:0),2022-2023
,Bayern München,Werder Bremen,6:1 (4:1),2022-2023
,VfL Bochum,Bor. Mönchengladbach,2:1 (2:0),2022-2023
,VfB Stuttgart,Hertha BSC,2:1 (1:1),2022-2023
09/11/2022,1. FC Köln,Bayer Leverkusen,1:2 (1:0),2022-2023
,RB Leipzig,SC Freiburg,3:1 (0:0),2022-2023
,1. FC Union Berlin,FC Augsburg,2:2 (2:2),2022-2023
,Eintracht Frankfurt,1899 Hoffenheim,4:2 (3:1),2022-2023
,FC Schalke 04,1. FSV Mainz 05,1:0 (1:0),2022-2023
11/11/2022,Bor. Mönchengladbach,Borussia Dortmund,4:2 (3:2),2022-2023
12/11/2022,Bayer Leverkusen,VfB Stuttgart,2:0 (1:0),2022-2023
,1899 Hoffenheim,VfL Wolfsburg,1:2 (1:1),2022-2023
,FC Augsburg,VfL Bochum,0:1 (0:0),2022-2023
,Hertha BSC,1. FC Köln,2:0 (1:0),2022-2023
,Werder Bremen,RB Leipzig,1:2 (0:1),2022-2023
,FC Schalke 04,Bayern München,0:2 (0:1),2022-2023
13/11/2022,1. FSV Mainz 05,Eintracht Frankfurt,1:1 (1:0),2022-2023
,SC Freiburg,1. FC Union Berlin,4:1 (4:0),2022-2023
20/01/2023,RB Leipzig,Bayern München,1:1 (0:1),2022-2023
21/01/2023,1. FC Union Berlin,1899 Hoffenheim,3:1 (0:1),2022-2023
,Eintracht Frankfurt,FC Schalke 04,3:0 (1:0),2022-2023
,VfL Wolfsburg,SC Freiburg,6:0 (3:0),2022-2023
,VfL Bochum,Hertha BSC,3:1 (2:0),2022-2023
,VfB Stuttgart,1. FSV Mainz 05,1:1 (1:1),2022-2023
,1. FC Köln,Werder Bremen,7:1 (5:1),2022-2023
22/01/2023,Borussia Dortmund,FC Augsburg,4:3 (2:2),2022-2023
,Bor. Mönchengladbach,Bayer Leverkusen,2:3 (0:2),2022-2023
24/01/2023,FC Schalke 04,RB Leipzig,1:6 (0:4),2022-2023
,Bayern München,1. FC Köln,1:1 (0:1),2022-2023
,1899 Hoffenheim,VfB Stuttgart,2:2 (1:1),2022-2023
,Hertha BSC,VfL Wolfsburg,0:5 (0:3),2022-2023
25/01/2023,1. FSV Mainz 05,Borussia Dortmund,1:2 (1:1),2022-2023
,Bayer Leverkusen,VfL Bochum,2:0 (1:0),2022-2023
,SC Freiburg,Eintracht Frankfurt,1:1 (0:1),2022-2023
,FC Augsburg,Bor. Mönchengladbach,1:0 (0:0),2022-2023
,Werder Bremen,1. FC Union Berlin,1:2 (1:1),2022-2023
27/01/2023,RB Leipzig,VfB Stuttgart,2:1 (1:0),2022-2023
28/01/2023,Hertha BSC,1. FC Union Berlin,0:2 (0:1),2022-2023
,1899 Hoffenheim,Bor. Mönchengladbach,1:4 (0:2),2022-2023
,Werder Bremen,VfL Wolfsburg,2:1 (1:0),2022-2023
,1. FSV Mainz 05,VfL Bochum,5:2 (3:0),2022-2023
,SC Freiburg,FC Augsburg,3:1 (2:1),2022-2023
,Bayern München,Eintracht Frankfurt,1:1 (1:0),2022-2023
29/01/2023,FC Schalke 04,1. FC Köln,0:0 (0:0),2022-2023
,Bayer Leverkusen,Borussia Dortmund,0:2 (0:1),2022-2023
03/02/2023,FC Augsburg,Bayer Leverkusen,1:0 (0:0),2022-2023
04/02/2023,1. FC Köln,RB Leipzig,0:0 (0:0),2022-2023
,Borussia Dortmund,SC Freiburg,5:1 (1:1),2022-2023
,1. FC Union Berlin,1. FSV Mainz 05,2:1 (1:0),2022-2023
,VfL Bochum,1899 Hoffenheim,5:2 (3:0),2022-2023
,Eintracht Frankfurt,Hertha BSC,3:0 (2:0),2022-2023
,Bor. Mönchengladbach,FC Schalke 04,0:0 (0:0),2022-2023
05/02/2023,VfB Stuttgart,Werder Bremen,0:2 (0:0),2022-2023
,VfL Wolfsburg,Bayern München,2:4 (1:3),2022-2023
10/02/2023,FC Schalke 04,VfL Wolfsburg,0:0 (0:0),2022-2023
11/02/2023,Werder Bremen,Borussia Dortmund,0:2 (0:0),2022-2023
,1899 Hoffenheim,Bayer Leverkusen,1:3 (0:1),2022-2023
,Bayern München,VfL Bochum,3:0 (1:0),2022-2023
,1. FSV Mainz 05,FC Augsburg,3:1 (2:1),2022-2023
,SC Freiburg,VfB Stuttgart,2:1 (0:1),2022-2023
,RB Leipzig,1. FC Union Berlin,1:2 (1:0),2022-2023
12/02/2023,Hertha BSC,Bor. Mönchengladbach,4:1 (1:1),2022-2023
,1. FC Köln,Eintracht Frankfurt,3:0 (0:0),2022-2023
17/02/2023,FC Augsburg,1899 Hoffenheim,1:0 (0:0),2022-2023
18/02/2023,Bor. Mönchengladbach,Bayern München,3:2 (1:1),2022-2023
,VfL Wolfsburg,RB Leipzig,0:3 (0:1),2022-2023
,VfL Bochum,SC Freiburg,0:2 (0:1),2022-2023
,VfB Stuttgart,1. FC Köln,3:0 (1:0),2022-2023
,Eintracht Frankfurt,Werder Bremen,2:0 (1:0),2022-2023
19/02/2023,1. FC Union Berlin,FC Schalke 04,0:0 (0:0),2022-2023
,Borussia Dortmund,Hertha BSC,4:1 (2:0),2022-2023
,Bayer Leverkusen,1. FSV Mainz 05,2:3 (1:2),2022-2023
24/02/2023,1. FSV Mainz 05,Bor. Mönchengladbach,4:0 (1:0),2022-2023
25/02/2023,1899 Hoffenheim,Borussia Dortmund,0:1 (0:1),2022-2023
,RB Leipzig,Eintracht Frankfurt,2:1 (2:0),2022-2023
,1. FC Köln,VfL Wolfsburg,0:2 (0:1),2022-2023
,Werder Bremen,VfL Bochum,3:0 (2:0),2022-2023
,Hertha BSC,FC Augsburg,2:0 (0:0),2022-2023
,FC Schalke 04,VfB Stuttgart,2:1 (2:0),2022-2023
26/02/2023,SC Freiburg,Bayer Leverkusen,1:1 (1:0),2022-2023
,Bayern München,1. FC Union Berlin,3:0 (3:0),2022-2023
03/03/2023,Borussia Dortmund,RB Leipzig,2:1 (2:0),2022-2023
04/03/2023,Bor. Mönchengladbach,SC Freiburg,0:0 (0:0),2022-2023
,1. FC Union Berlin,1. FC Köln,0:0 (0:0),2022-2023
,1. FSV Mainz 05,1899 Hoffenheim,1:0 (1:0),2022-2023
,VfL Bochum,FC Schalke 04,0:2 (0:1),2022-2023
,FC Augsburg,Werder Bremen,2:1 (1:1),2022-2023
,VfB Stuttgart,Bayern München,1:2 (0:1),2022-2023
05/03/2023,Bayer Leverkusen,Hertha BSC,4:1 (2:0),2022-2023
,VfL Wolfsburg,Eintracht Frankfurt,2:2 (2:2),2022-2023
10/03/2023,1. FC Köln,VfL Bochum,0:2 (0:1),2022-2023
11/03/2023,Hertha BSC,1. FSV Mainz 05,1:1 (1:0),2022-2023
,RB Leipzig,Bor. Mönchengladbach,3:0 (0:0),2022-2023
,Bayern München,FC Augsburg,5:3 (4:1),2022-2023
,Eintracht Frankfurt,VfB Stuttgart,1:1 (0:0),2022-2023
,FC Schalke 04,Borussia Dortmund,2:2 (0:1),2022-2023
12/03/2023,SC Freiburg,1899 Hoffenheim,2:1 (1:0),2022-2023
,Werder Bremen,Bayer Leverkusen,2:3 (1:1),2022-2023
,VfL Wolfsburg,1. FC Union Berlin,1:1 (0:0),2022-2023
17/03/2023,Bor. Mönchengladbach,Werder Bremen,2:2 (0:0),2022-2023
18/03/2023,VfL Bochum,RB Leipzig,1:0 (0:0),2022-2023
,VfB Stuttgart,VfL Wolfsburg,0:1 (0:0),2022-2023
,1899 Hoffenheim,Hertha BSC,3:1 (2:0),2022-2023
,FC Augsburg,FC Schalke 04,1:1 (0:0),2022-2023
,Borussia Dortmund,1. FC Köln,6:1 (4:1),2022-2023
19/03/2023,1. FC Union Berlin,Eintracht Frankfurt,2:0 (0:0),2022-2023
,Bayer Leverkusen,Bayern München,2:1 (0:1),2022-2023
,1. FSV Mainz 05,SC Freiburg,1:1 (0:0),2022-2023
31/03/2023,Eintracht Frankfurt,VfL Bochum,1:1 (1:1),2022-2023
01/04/2023,FC Schalke 04,Bayer Leverkusen,0:3 (0:0),2022-2023
,RB Leipzig,1. FSV Mainz 05,0:3 (0:1),2022-2023
,VfL Wolfsburg,FC Augsburg,2:2 (0:2),2022-2023
,1. FC Union Berlin,VfB Stuttgart,3:0 (0:0),2022-2023
,SC Freiburg,Hertha BSC,1:1 (0:0),2022-2023
,Bayern München,Borussia Dortmund,4:2 (3:0),2022-2023
02/04/2023,1. FC Köln,Bor. Mönchengladbach,0:0 (0:0),2022-2023
,Werder Bremen,1899 Hoffenheim,1:2 (0:0),2022-2023
08/04/2023,SC Freiburg,Bayern München,0:1 (0:0),2022-2023
,Borussia Dortmund,1. FC Union Berlin,2:1 (1:0),2022-2023
,FC Augsburg,1. FC Köln,1:3 (1:2),2022-2023
,Bayer Leverkusen,Eintracht Frankfurt,3:1 (2:0),2022-2023
,1. FSV Mainz 05,Werder Bremen,2:2 (0:0),2022-2023
,Hertha BSC,RB Leipzig,0:1 (0:1),2022-2023
09/04/2023,Bor. Mönchengladbach,VfL Wolfsburg,2:0 (1:0),2022-2023
,VfL Bochum,VfB Stuttgart,2:3 (0:1),2022-2023
,1899 Hoffenheim,FC Schalke 04,2:0 (1:0),2022-2023
14/04/2023,FC Schalke 04,Hertha BSC,5:2 (2:1),2022-2023
15/04/2023,VfB Stuttgart,Borussia Dortmund,3:3 (0:2),2022-2023
,1. FC Köln,1. FSV Mainz 05,1:1 (0:1),2022-2023
,Bayern München,1899 Hoffenheim,1:1 (1:0),2022-2023
,RB Leipzig,FC Augsburg,3:2 (3:1),2022-2023
,Eintracht Frankfurt,Bor. Mönchengladbach,1:1 (0:1),2022-2023
16/04/2023,Werder Bremen,SC Freiburg,1:2 (0:0),2022-2023
,1. FC Union Berlin,VfL Bochum,1:1 (1:0),2022-2023
,VfL Wolfsburg,Bayer Leverkusen,0:0 (0:0),2022-2023
21/04/2023,FC Augsburg,VfB Stuttgart,1:1 (1:0),2022-2023
22/04/2023,1. FSV Mainz 05,Bayern München,3:1 (0:1),2022-2023
,1899 Hoffenheim,1. FC Köln,1:3 (0:2),2022-2023
,VfL Bochum,VfL Wolfsburg,1:5 (0:3),2022-2023
,Hertha BSC,Werder Bremen,2:4 (0:2),2022-2023
,Borussia Dortmund,Eintracht Frankfurt,4:0 (3:0),2022-2023
23/04/2023,SC Freiburg,FC Schalke 04,4:0 (2:0),2022-2023
,Bayer Leverkusen,RB Leipzig,2:0 (1:0),2022-2023
,Bor. Mönchengladbach,1. FC Union Berlin,0:1 (0:0),2022-2023
28/04/2023,VfL Bochum,Borussia Dortmund,1:1 (1:1),2022-2023
29/04/2023,1. FC Union Berlin,Bayer Leverkusen,0:0 (0:0),2022-2023
,1. FC Köln,SC Freiburg,0:1 (0:0),2022-2023
,RB Leipzig,1899 Hoffenheim,1:0 (1:0),2022-2023
,VfB Stuttgart,Bor. Mönchengladbach,2:1 (1:0),2022-2023
,Eintracht Frankfurt,FC Augsburg,1:1 (1:0),2022-2023
,FC Schalke 04,Werder Bremen,2:1 (0:1),2022-2023
30/04/2023,Bayern München,Hertha BSC,2:0 (0:0),2022-2023
,VfL Wolfsburg,1. FSV Mainz 05,3:0 (3:0),2022-2023
05/05/2023,Bayer Leverkusen,1. FC Köln,1:2 (1:2),2022-2023
,1. FSV Mainz 05,FC Schalke 04,2:3 (0:1),2022-2023
06/05/2023,SC Freiburg,RB Leipzig,0:1 (0:0),2022-2023
,FC Augsburg,1. FC Union Berlin,1:0 (0:0),2022-2023
,1899 Hoffenheim,Eintracht Frankfurt,3:1 (3:0),2022-2023
,Bor. Mönchengladbach,VfL Bochum,2:0 (1:0),2022-2023
,Hertha BSC,VfB Stuttgart,2:1 (2:1),2022-2023
,Werder Bremen,Bayern München,1:2 (0:0),2022-2023
07/05/2023,Borussia Dortmund,VfL Wolfsburg,6:0 (3:0),2022-2023
12/05/2023,1. FC Köln,Hertha BSC,5:2 (3:2),2022-2023
13/05/2023,1. FC Union Berlin,SC Freiburg,4:2 (3:0),2022-2023
,Eintracht Frankfurt,1. FSV Mainz 05,3:0 (2:0),2022-2023
,VfL Wolfsburg,1899 Hoffenheim,2:1 (1:0),2022-2023
,VfL Bochum,FC Augsburg,3:2 (1:1),2022-2023
,Bayern München,FC Schalke 04,6:0 (2:0),2022-2023
,Borussia Dortmund,Bor. Mönchengladbach,5:2 (4:0),2022-2023
14/05/2023,VfB Stuttgart,Bayer Leverkusen,1:1 (0:0),2022-2023
,RB Leipzig,Werder Bremen,2:1 (0:0),2022-2023
19/05/2023,SC Freiburg,VfL Wolfsburg,2:0 (0:0),2022-2023
20/05/2023,1899 Hoffenheim,1. FC Union Berlin,4:2 (2:1),2022-2023
,Werder Bremen,1. FC Köln,1:1 (0:1),2022-2023
,FC Schalke 04,Eintracht Frankfurt,2:2 (1:1),2022-2023
,Hertha BSC,VfL Bochum,1:1 (0:0),2022-2023
,Bayern München,RB Leipzig,1:3 (1:0),2022-2023
21/05/2023,1. FSV Mainz 05,VfB Stuttgart,1:4 (1:1),2022-2023
,FC Augsburg,Borussia Dortmund,0:3 (0:0),2022-2023
,Bayer Leverkusen,Bor. Mönchengladbach,2:2 (2:0),2022-2023
27/05/2023,1. FC Köln,Bayern München,1:2 (0:1),2022-2023
,VfL Bochum,Bayer Leverkusen,3:0 (2:0),2022-2023
,Eintracht Frankfurt,SC Freiburg,2:1 (0:1),2022-2023
,Borussia Dortmund,1. FSV Mainz 05,2:2 (0:2),2022-2023
,VfB Stuttgart,1899 Hoffenheim,1:1 (0:0),2022-2023
,Bor. Mönchengladbach,FC Augsburg,2:0 (2:0),2022-2023
,VfL Wolfsburg,Hertha BSC,1:2 (1:0),2022-2023
,RB Leipzig,FC Schalke 04,4:2 (2:1),2022-2023
,1. FC Union Berlin,Werder Bremen,1:0 (0:0),2022-2023
Latest news »,Werder Bremen,Bayern München,0:4 (0:1),2022-2023
18/08/2023,Bayer Leverkusen,RB Leipzig,3:2 (2:1),2023-2024
19/08/2023,VfL Wolfsburg,1. FC Heidenheim 1846,2:0 (2:0),2023-2024
,1899 Hoffenheim,SC Freiburg,1:2 (0:2),2023-2024
,FC Augsburg,Bor. Mönchengladbach,4:4 (3:3),2023-2024
,VfB Stuttgart,VfL Bochum,5:0 (2:0),2023-2024
,Borussia Dortmund,1. FC Köln,1:0 (0:0),2023-2024
,1. FC Union Berlin,1. FSV Mainz 05,4:1 (2:0),2023-2024
20/08/2023,Eintracht Frankfurt,SV Darmstadt 98,1:0 (1:0),2023-2024
,RB Leipzig,VfB Stuttgart,5:1 (0:1),2023-2024
25/08/2023,SC Freiburg,Werder Bremen,1:0 (0:0),2023-2024
26/08/2023,1. FC Köln,VfL Wolfsburg,1:2 (0:0),2023-2024
,VfL Bochum,Borussia Dortmund,1:1 (1:0),2023-2024
,1. FC Heidenheim 1846,1899 Hoffenheim,2:3 (1:0),2023-2024
,SV Darmstadt 98,1. FC Union Berlin,1:4 (1:3),2023-2024
,Bor. Mönchengladbach,Bayer Leverkusen,0:3 (0:2),2023-2024
,1. FSV Mainz 05,Eintracht Frankfurt,1:1 (1:0),2023-2024
27/08/2023,Bayern München,FC Augsburg,3:1 (2:0),2023-2024
,Borussia Dortmund,1. FC Heidenheim 1846,2:2 (2:0),2023-2024
01/09/2023,Bayer Leverkusen,SV Darmstadt 98,5:1 (1:1),2023-2024
02/09/2023,1899 Hoffenheim,VfL Wolfsburg,3:1 (1:1),2023-2024
,Werder Bremen,1. FSV Mainz 05,4:0 (1:0),2023-2024
,FC Augsburg,VfL Bochum,2:2 (1:1),2023-2024
,VfB Stuttgart,SC Freiburg,5:0 (3:0),2023-2024
,Bor. Mönchengladbach,Bayern München,1:2 (1:0),2023-2024
,Eintracht Frankfurt,1. FC Köln,1:1 (0:1),2023-2024
03/09/2023,1. FC Union Berlin,RB Leipzig,0:3 (0:0),2023-2024
,Bayern München,Bayer Leverkusen,2:2 (1:1),2023-2024
15/09/2023,RB Leipzig,FC Augsburg,3:0 (3:0),2023-2024
16/09/2023,SC Freiburg,Borussia Dortmund,2:4 (2:1),2023-2024
,VfL Wolfsburg,1. FC Union Berlin,2:1 (2:1),2023-2024
,1. FSV Mainz 05,VfB Stuttgart,1:3 (0:0),2023-2024
,1. FC Köln,1899 Hoffenheim,1:3 (0:2),2023-2024
,VfL Bochum,Eintracht Frankfurt,1:1 (0:0),2023-2024
,1. FC Heidenheim 1846,Werder Bremen,4:2 (2:0),2023-2024
17/09/2023,SV Darmstadt 98,Bor. Mönchengladbach,3:3 (3:0),2023-2024
,VfB Stuttgart,SV Darmstadt 98,3:1 (2:1),2023-2024
22/09/2023,Bayern München,VfL Bochum,7:0 (4:0),2023-2024
23/09/2023,Borussia Dortmund,VfL Wolfsburg,1:0 (0:0),2023-2024
,1. FC Union Berlin,1899 Hoffenheim,0:2 (0:2),2023-2024
,Bor. Mönchengladbach,RB Leipzig,0:1 (0:0),2023-2024
,FC Augsburg,1. FSV Mainz 05,2:1 (2:1),2023-2024
,Werder Bremen,1. FC Köln,2:1 (1:1),2023-2024
,Bayer Leverkusen,1. FC Heidenheim 1846,4:1 (1:0),2023-2024
24/09/2023,Eintracht Frankfurt,SC Freiburg,0:0 (0:0),2023-2024
,1899 Hoffenheim,Borussia Dortmund,1:3 (1:2),2023-2024
29/09/2023,VfL Wolfsburg,Eintracht Frankfurt,2:0 (1:0),2023-2024
30/09/2023,1. FSV Mainz 05,Bayer Leverkusen,0:3 (0:1),2023-2024
,1. FC Köln,VfB Stuttgart,0:2 (0:0),2023-2024
,VfL Bochum,Bor. Mönchengladbach,1:3 (0:3),2023-2024
,1. FC Heidenheim 1846,1. FC Union Berlin,1:0 (0:0),2023-2024
,RB Leipzig,Bayern München,2:2 (2:0),2023-2024
,SV Darmstadt 98,Werder Bremen,4:2 (2:0),2023-2024
01/10/2023,SC Freiburg,FC Augsburg,2:0 (1:0),2023-2024
,Bor. Mönchengladbach,1. FSV Mainz 05,2:2 (1:1),2023-2024
06/10/2023,Borussia Dortmund,1. FC Union Berlin,4:2 (1:2),2023-2024
07/10/2023,RB Leipzig,VfL Bochum,0:0 (0:0),2023-2024
,FC Augsburg,SV Darmstadt 98,1:2 (0:0),2023-2024
,VfB Stuttgart,VfL Wolfsburg,3:1 (0:1),2023-2024
,Werder Bremen,1899 Hoffenheim,2:3 (1:2),2023-2024
,Bayer Leverkusen,1. FC Köln,3:0 (2:0),2023-2024
08/10/2023,Bayern München,SC Freiburg,3:0 (2:0),2023-2024
,Eintracht Frankfurt,1. FC Heidenheim 1846,2:0 (1:0),2023-2024
,Borussia Dortmund,Werder Bremen,1:0 (0:0),2023-2024
20/10/2023,1. FC Union Berlin,VfB Stuttgart,0:3 (0:1),2023-2024
21/10/2023,SC Freiburg,VfL Bochum,2:1 (2:1),2023-2024
,VfL Wolfsburg,Bayer Leverkusen,1:2 (1:1),2023-2024
,1899 Hoffenheim,Eintracht Frankfurt,1:3 (1:3),2023-2024
,SV Darmstadt 98,RB Leipzig,1:3 (1:2),2023-2024
